***** AT90S4434-A
***** AT90S8535-A
83 PK6(ADC14/PCINT22)
82 PK7(ADC15/PCINT23)

63 PJ0(RXD3/PCINT9)
64 PJ1(TXD3/PCINT10)
65 PJ2(XCK3/PCINT11)
66 PJ3(PCINT12)
67 PJ4(PCINT13)
68 PJ5(PCINT14)
69 PJ6(PCINT15)
79 PJ7

43 (SCL/INT0)PD0
44 (SDA/INT1)PD1
45 (RXD1/INT2)PD2
46 (TXD1/INT3)PD3
47 (ICP1)PD4
48 (XCK1)PD5
49 (T1)PD6
50 (T2)PD7

19 (PCINT0/SS)PB0
20 (PCINT1/SCK)PB1
21 (PCINT2/MOSI)PB2
22 (PCINT3/MISO)PB3
23 (PCINT4/OC2A)PB4
24 (PCINT5/OC1A)PB5
25 (PCINT6/OC1B)PB6
26 (PCINT7/OC0A/OC1C)PB7

35 PL0(ICP4)
36 PL1(ICP5)
37 PL2(T5)
38 PL3(OC5A)
39 PL4(OC5B)
40 PL5(OC5C)
41 PL6
42 PL7

33 XTAL2
34 XTAL1

30o RESET

98 AREF
100 AVCC
32 GND
99 GND
11 GND
81 GND
80 VCC
31 VCC
10 VCC
***** ATMEGA1281-A
***** ATMEGA2561-A
61 PF0(ADC0)
60 PF1(ADC1)
59 PF2(ADC2)
58 PF3(ADC3)
57 PF4(ADC4/TCK)
56 PF5(ADC5/TMS)
55 PF6(ADC6/TDO)
54 PF7(ADC7/TDI)

35 (A8)PC0
36 (A9)PC1
37 (A10)PC2
38 (A11)PC3
39 (A12)PC4
40 (A13)PC5
41 (A14)PC6
42 (A15)PC7

2 PE0(RXD0/PDI/PCINT8)
3 PE1(TXD0/PDO)
4 PE2(XCK0/AIN0)
5 PE3(OC3A/AIN1)
6 PE4(OC3B/INT4)
7 PE5(OC3C/INT5)
8 PE6(T3/INT6)
9 PE7(IC3/INT7/CLKO)

33 PG0(WR)
34 PG1(RD)
43 PG2(ALE)
18 PG3(TOSC2)
19 PG4(TOSC1)
1 PG5(OCOB)
---


























---
51 (AD0)PA0
50 (AD1)PA1
49 (AD2)PA2
48 (AD3)PA3
47 (AD4)PA4
46 (AD5)PA5
45 (AD6)PA6
44 (AD7)PA7

25 (SCL/INT0)PD0
26 (SDA/INT1)PD1
27 (RXD1/INT2)PD2
28 (TXD1/INT3)PD3
29 (ICP1)PD4
30 (XCK1)PD5
31 (T1)PD6
32 (T2)PD7

10 (PCINT0/SS)PB0
11 (PCINT1/SCK)PB1
12 (PCINT2/MOSI)PB2
13 (PCINT3/MISO)PB3
14 (PCINT4/OC2A)PB4
15 (PCINT5/OC1A)PB5
16 (PCINT6/OC1B)PB6
17 (PCINT7/OC0A/OC1C)PB7

23 XTAL2
24 XTAL1

20o RESET

62 AREF
64 AVCC
22 GND
63 GND
53 GND
52 VCC
21 VCC
***** ATMEGA1281-M
***** ATMEGA2561-M
61 PF0(ADC0)
60 PF1(ADC1)
59 PF2(ADC2)
58 PF3(ADC3)
57 PF4(ADC4/TCK)
56 PF5(ADC5/TMS)
55 PF6(ADC6/TDO)
54 PF7(ADC7/TDI)

35 (A8)PC0
36 (A9)PC1
37 (A10)PC2
38 (A11)PC3
39 (A12)PC4
40 (A13)PC5
41 (A14)PC6
42 (A15)PC7

2 PE0(RXD0/PDI/PCINT8)
